,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
123614,mercedes-benz,Mercedes-Benz GLC 63 AMG,grey,19-Mar,2019,76999,375,510,Automatic,Petrol,"10,7 l/100 km",244 g/km,62000,GLC 63 S AMG 4Matic Edition 1*VOLL*HEAD*MEMORY
126084,mercedes-benz,Mercedes-Benz GLE 400,black,20-May,2020,76999,243,330,Automatic,Diesel,"7,2 l/100 km",189 g/km,72609,"d 4M AMG LINE+PANODACH+AHK+DISTRONIC+22"" Navi/LED"
165510,porsche,Porsche 991,grey,15-Sep,2015,76999,257,349,Automatic,Petrol,"9,3 l/100 km",220 g/km,98000,Carrera 4*Bi-XEN*KAMERA*ESD*BOSE*SiTZH
96448,land-rover,Land Rover Range Rover Velar,grey,22-Jul,2022,76996,221,300,Automatic,Diesel,"6,9 l/100 km",183 g/km,29900,D300 Auric Edition
165064,porsche,Porsche 991,black,12-May,2012,76991,294,400,Automatic,Petrol,"9,7 l/100 km",230 g/km,126000,911 991 Carrera S Cabrio PDK APPROVED SportAbgas
984,alfa-romeo,Alfa Romeo Stelvio,black,21-Oct,2021,76990,375,510,Automatic,Petrol,10 l/100 km,229 g/km,20500,Quadrifoglio Q4
11275,audi,Audi RS6,blue,16-Nov,2016,76990,445,605,Automatic,Petrol,"9,6 l/100 km",223 g/km,79550,Avant 4.0 TFSI quattro performance
20254,audi,Audi S6,silver,21-Jan,2021,76990,253,344,Automatic,Diesel,"7,3 l/100 km","193,6 g/km",20106,Avant 3.0 TDI Standhe B&O Adv Pano AHK MATRIX VOLL
22814,audi,Audi RS3,white,23-Feb,2023,76990,294,400,Automatic,Petrol,,190 g/km,4780,SPBACK*S-TR*MATRX*PANO*B&O*SP-AGA*ACC*280KMH
41501,bmw,BMW X6,grey,21-Jun,2021,76990,250,340,Automatic,Petrol,"7,8 l/100 km",197 g/km,12500,xDrive 40 i Aut. - 1 Hand - M Sportpaket ///
41667,bmw,BMW M850,black,21-Jun,2021,76990,390,530,Automatic,Petrol,"10,1 l/100 km",232 g/km,47461,i xDrive Gran Coupé B&W Surround DAB Shz
51929,dodge,Dodge RAM,grey,23-May,2023,76990,295,401,Automatic,LPG,"14,9 l/100 km",352 g/km,5000,1500 CrewCab 4x4 BigHorn Autom LPG Night AEC
74391,ford,Ford Mustang Mach-E,black,22-Sep,2022,76990,358,487,Automatic,Electric,,84 km Reichweite,20,"GT AWD 98,7 kWh *Voll*SOFORT*5J.G"
87597,jeep,Jeep Wrangler,white,23-Apr,2023,76990,280,381,Automatic,Hybrid,,44 km Reichweite,500,PHEV MY23 Sahara
95557,land-rover,Land Rover Range Rover Sport,black,19-Aug,2019,76990,386,525,Automatic,Petrol,"12,8 l/100 km",290 g/km,89500,Autobiography Dynamic 5.0 EU6d-T/Allrad
95676,land-rover,Land Rover Range Rover Sport,black,19-Aug,2019,76990,386,525,Automatic,Petrol,"12,8 l/100 km",290 g/km,89500,Autobiography Dynamic 5.0 EU6d-T/Allrad
95856,land-rover,Land Rover Defender,grey,20-Jul,2020,76990,294,400,Automatic,Petrol,"9,6 l/100 km",220 g/km,80300,"110 P400 HSE AHK,SD,MATRIX,WKP,3-ZONEN"
97711,maserati,Maserati Ghibli,grey,22-Apr,2022,76990,243,330,Automatic,Petrol,"7,5 l/100 km",169 g/km,1286,2.0 Hybrid Executive SD Navi LED ACC
116153,mercedes-benz,Mercedes-Benz AMG GT,black,15-Aug,2015,76990,375,510,Automatic,Petrol,"9,4 l/100 km",219 g/km,109000,Coupé
128742,mercedes-benz,Mercedes-Benz V 300,grey,23-Apr,2023,76990,174,237,Automatic,Diesel,"8,2 l/100 km",216 g/km,5000,d Lang 4MATIC Kamera AHK Standhzg MBUX LED
167605,porsche,Porsche Cayman,white,19-Mar,2019,76990,269,366,Automatic,Petrol,"8,2 l/100 km",186 g/km,48600,718 GTS / BOSE / PDLS / Navi / Sitzh.
250545,volvo,Volvo XC90,white,21-May,2021,76990,288,392,Automatic,Hybrid,"2,1 l/100 km",47 g/km,12200,T8 Inscription AWD 360° Cam AHK Stdhzg.
96573,land-rover,Land Rover Discovery,black,22-Jul,2022,76989,183,249,Automatic,Diesel,"7,3 l/100 km",194 g/km,20890,"D250 R-Dynamic HSE 183 kW, 5-türig (Dies"
9849,audi,Audi A1,blue,15-Mar,2015,76980,110,150,Automatic,Petrol,"4,7 l/100 km",109 g/km,85069,A1 1.4 TFSI Sportback cylinder on demand S tronic
96602,land-rover,Land Rover Range Rover Velar,black,22-Nov,2022,76980,150,204,Automatic,Diesel,"5,3 l/100 km",141 g/km,1999,"2.0 Diesel D200 R-Dynamic SE,"
124729,mercedes-benz,Mercedes-Benz E 53 AMG,silver,19-Jun,2019,76980,336,457,Automatic,Petrol,"9,5 l/100 km",215 g/km,16200,4M+ Cabriolet +Distronic+360°Kamera+LED Styling
19951,audi,Audi RS5,green,21-May,2021,76970,331,450,Automatic,Petrol,"8,8 l/100 km",199 g/km,20945,Coupé 2.9 TFSI quattro Navi Matrix B&O LED
246742,volkswagen,Volkswagen Tiguan Allspace,white,23-Apr,2023,76965,147,200,Automatic,Diesel,"6,8 l/100 km",178 g/km,200,"R-Line 2,0 l TDI SCR 4MOTION 147"
