,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
128187,mercedes-benz,Mercedes-Benz GLS 600,silver,22-Sep,2022,329000,410,557,Automatic,Petrol,,#NAME?,7200,Edition 100
165007,porsche,Porsche 356,white,11-Mar,2011,329000,300,408,Manual,Petrol,,0 g/km,2650,Speedster
52376,ferrari,Ferrari F8 Spider,yellow,20-Dec,2020,328980,530,721,Automatic,Petrol,12 l/100 km,273 g/km,33407,Racingsitze * CarbonPaket *
23270,bentley,Bentley Continental,blue,22-Jun,2022,327890,485,659,Automatic,Petrol,"13,8 l/100 km",314 g/km,21550,GTC Speed * NAIM * *Servicepaket*
52365,ferrari,Ferrari,blue,20-Sep,2020,327250,530,721,Automatic,Petrol,"12,9 l/100 km",292 g/km,3500,F8 Tributo LIFT+ LED+ DISPLAY+ WHITE INTERIOR
93871,lamborghini,Lamborghini Urus,grey,22-Sep,2022,327000,478,650,Automatic,Petrol,"12,6 l/100 km",292 g/km,4750,"-23""-B&O ADVANCED-PANO-OFF ROAD MODUS-"
93640,lamborghini,Lamborghini Aventador,red,15-Sep,2015,326990,515,700,Manual,Petrol,16 l/100 km,370 g/km,7990,LP 700-4 Edition 2Color Alcantara MWST
93884,lamborghini,Lamborghini Urus,green,22-Jul,2022,326500,478,650,Automatic,Petrol,"12,7 l/100 km",#NAME?,14200,4.0*1.Hd*ACC*Panorama*Night*B&O*Akrapovic*
23216,bentley,Bentley Continental,blue,21-Jul,2021,325450,485,659,Automatic,Petrol,"13,8 l/100 km",314 g/km,10650,GTC Speed * CARBON PAKET * NAIM * BLACKLINE *
93724,lamborghini,Lamborghini Urus,blue,19-Apr,2019,325000,478,650,Automatic,Petrol,"12,7 l/100 km",290 g/km,29800,NOVITEC*ESTESO*23*FULL CARBON*TV*WARRANTY
52369,ferrari,Ferrari F8 Spider,blue,20-Jun,2020,324900,530,721,Automatic,Petrol,,#NAME?,29350,Karbon*ADAS*Lift*Display*Surround-View
52397,ferrari,Ferrari F8 Tributo,red,20-Aug,2020,324900,530,721,Automatic,Petrol,,#NAME?,12600,LED/Viel Carbon/Racing Seat/Garantie!
93692,lamborghini,Lamborghini Huracan,grey,18-Oct,2018,324900,470,639,Automatic,Petrol,,#NAME?,9700,Performante Spyder
93852,lamborghini,Lamborghini Urus,orange,21-Nov,2021,324900,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,6300,Pearl Capsule
93787,lamborghini,Lamborghini Huracan,black,20-Feb,2020,324449,470,639,Automatic,Petrol,"14,1 l/100 km",340 g/km,20000,EVO Spyder LP640-4 AWD*VOLL AUSSTATTUNG*
93906,lamborghini,Lamborghini Urus,silver,22-Apr,2022,324000,478,650,Automatic,Petrol,"12,6 l/100 km",292 g/km,7340,"-23"" TAIGETE-Q CITURA-B&O-AHK-PANO-"
23406,bentley,Bentley Flying Spur,black,23-Jun,2023,323680,405,551,Automatic,Petrol,15 l/100 km,340 g/km,15,"S V8 BLACK/RED PANO 22"" AMBIENTLIGHT"
23374,bentley,Bentley Continental,grey,23-Jun,2023,323490,404,549,Automatic,Petrol,"11,7 l/100 km",266 g/km,3000,GTC Azure V8
23384,bentley,Bentley Continental,green,23-Jun,2023,322500,405,551,Automatic,Petrol,"11,7 l/100 km",266 g/km,1923,GTC V8 Azure
93822,lamborghini,Lamborghini Urus,yellow,21-Jul,2021,321990,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,37000,4.0 V8 PEARL CAPSULE *PANO *PREM.SOUND *360
93873,lamborghini,Lamborghini Urus,grey,22-Jun,2022,321200,478,650,Automatic,Petrol,,#NAME?,9900,4.0 640 PS Akrapovic B&O Mattlack
23287,bentley,Bentley Bentayga,grey,22-Nov,2022,321062,404,549,Automatic,Petrol,13 l/100 km,294 g/km,8490,BENTAYGA EWB AZURE FIRST EDITION V8+NAIM+STOCK+
23359,bentley,Bentley Continental,blue,23-May,2023,320890,405,551,Automatic,Petrol,"11,7 l/100 km",266 g/km,1925,GTC V8 Azure *NAIM*Rotating Display*
24484,bmw,BMW Z8,black,3-Jul,2003,320000,280,381,Automatic,Petrol,"14,9 l/100 km",358 g/km,53144,Alpina V8 Roadster Nr.267/555 HK HiFi Xenon
115819,mercedes-benz,Mercedes-Benz SLS,grey,15-Jul,2015,320000,435,591,Automatic,Petrol,,#NAME?,32500,GT Roadster Final Edition
93829,lamborghini,Lamborghini Huracan,green,21-May,2021,319999,470,639,Automatic,Petrol,"13,7 l/100 km",#NAME?,6907,EVO 640-4 Fluo Capsule Verde Shock AWD
93863,lamborghini,Lamborghini Urus,yellow,22-Sep,2022,319991,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,5000,"4.0  V8 MY22*B&O*CARBON*HUD*PANO*F1*23"""
166678,porsche,Porsche 991,gold,17-Dec,2017,319991,446,606,Automatic,Petrol,"9,1 l/100 km",212 g/km,73,911 Turbo S Exclusive Series Lift*Burmester
23279,bentley,Bentley Continental,blue,22-Feb,2022,319990,485,659,Automatic,Petrol,,#NAME?,21852,GTC Speed Touring Comfort Night Vision
52382,ferrari,Ferrari F8 Tributo,grey,20-Jul,2020,319990,530,721,Automatic,Petrol,,#NAME?,9569,Coupé 360° Kamera Racing Seats L JBL
93849,lamborghini,Lamborghini Urus,black,21-May,2021,319990,478,650,Automatic,Petrol,,#NAME?,24890,CARBON AKRAPOVIC  REAR ENT. HUD PANO B&O 23Z OFFRO
52553,ferrari,Ferrari Portofino,blue,23-Mar,2023,319980,456,620,Automatic,Petrol,"11,3 l/100 km",256 g/km,79,M Neuwagen MADM ADAS SurroundView
112828,mercedes-benz,Mercedes-Benz SLS,red,13-Oct,2013,319963,420,571,Automatic,Petrol,"13,2 l/100 km",308 g/km,18500,°B&O°CARBON°KERAMIK°GT-OPTIK°GERMAN CAR
23323,bentley,Bentley Continental GT,black,22-Aug,2022,319950,485,659,Automatic,Petrol,"13,5 l/100 km",308 g/km,11000,Speed #On Stock#
52465,ferrari,Ferrari F8 Tributo,red,21-Mar,2021,319950,530,721,Automatic,Petrol,,#NAME?,8000,Spider
93689,lamborghini,Lamborghini Huracan,yellow,18-Mar,2018,319900,470,639,Automatic,Petrol,"13,7 l/100 km",314 g/km,18000,Performante V10 640-4 AWD*LIFT*FORGED*
93739,lamborghini,Lamborghini Huracan,red,19-Mar,2019,319900,471,640,Automatic,Petrol,"13,7 l/100 km",314 g/km,11600,Performante LP640-4
93900,lamborghini,Lamborghini Urus,black,22-Feb,2022,319900,478,650,Automatic,Petrol,"12,7 l/100 km",290 g/km,19441,HUD Panorama Carbon Paket
93908,lamborghini,Lamborghini Urus,white,22-Oct,2022,319900,478,650,Automatic,Petrol,"12,3 l/100 km",290 g/km,2000,Urus
93913,lamborghini,Lamborghini Urus,white,22-Oct,2022,319900,478,650,Automatic,Petrol,"12,3 l/100 km",290 g/km,2000,"*Pano *full* Akrapovic* 23""*Ausweisbar"
167813,porsche,Porsche 992,blue,21-Jul,2021,319900,375,510,Automatic,Petrol,"12,4 l/100 km",283 g/km,7690,911 GT3 Clubsport Manthey Performance PCCB
93802,lamborghini,Lamborghini Urus,white,20-Feb,2020,319890,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,19080,"4.0 V8 23"",Pano,B&O,DAB,StylePaket,Branding"
52398,ferrari,Ferrari F8 Tributo,red,20-Sep,2020,319770,530,721,Automatic,Petrol,,#NAME?,3980,CARBON/KAMERA/DAYTONA/DEUTSCH
93854,lamborghini,Lamborghini Urus,orange,21-May,2021,319650,478,650,Automatic,Petrol,,#NAME?,16600,"Pearl Capsule MY21 Akrapovice, B&O, Carbon"
23403,bentley,Bentley Continental,black,23-May,2023,319179,405,551,Automatic,Petrol,"11,7 l/100 km",266 g/km,1923,GTC V8 Azure *NAIM*Rotating Display*
1641,aston-martin,Aston Martin DBS,black,21-Aug,2021,319000,533,725,Automatic,Petrol,"12,4 l/100 km",285 g/km,6400,Superleggera Coupé
1691,aston-martin,Aston Martin DBS,white,22-Aug,2022,319000,533,725,Automatic,Petrol,"12,4 l/100 km",285 g/km,2489,Superleggera V12 Coupe
93712,lamborghini,Lamborghini Huracan,white,18-Mar,2018,319000,470,639,Automatic,Petrol,,#NAME?,11200,|Performante|ALA|Forged|Lift|Sensonum|LDS
93898,lamborghini,Lamborghini Urus,black,22-Nov,2022,319000,478,650,Automatic,Petrol,"12,6 l/100 km",292 g/km,1157,"ANIMA/B&O/4SITZER/PANO/23""/360°"
93912,lamborghini,Lamborghini Urus,white,22-Oct,2022,318990,478,650,Automatic,Petrol,,#NAME?,6400,Lamborghini Urus FULL Option Steinschlagschutz
23367,bentley,Bentley Continental,grey,23-Feb,2023,318900,404,549,Automatic,Petrol,"11,4 l/100 km",260 g/km,3900,GTC S V8 CARBON INNEN + AUSSEN / FULL
52418,ferrari,Ferrari F8 Tributo,blue,21-Aug,2021,318888,530,721,Automatic,Petrol,,#NAME?,7900,Display|Lift|JBL|Race Sitze|Carbon
166130,porsche,Porsche 991,white,16-Dec,2016,318850,368,500,Manual,Petrol,"13,3 l/100 km",308 g/km,7284,"911 991 R LIFT, Bose, SportChronoPaket, Carbon"
23398,bentley,Bentley Continental,black,23-Jun,2023,318630,405,551,Automatic,Petrol,"11,7 l/100 km",266 g/km,1923,GTC V8 S *Touring*FrontSeatComfort*
23236,bentley,Bentley Continental GTC,green,21-Jul,2021,318500,485,659,Automatic,Petrol,"13,8 l/100 km",314 g/km,4100,SPEED - BENTLEY BERLIN -
93872,lamborghini,Lamborghini Urus,grey,22-Jun,2022,317999,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,12841,"4.0 V8 Aut. PANO HUD 23"" ANIMA SENSONUM 360"
23414,bentley,Bentley Continental,gold,23-May,2023,317950,405,551,Automatic,Petrol,"11,7 l/100 km",266 g/km,1923,GTC V8 Mulliner
23282,bentley,Bentley Continental GT,grey,22-Sep,2022,315900,485,659,Automatic,Petrol,"13,5 l/100 km",308 g/km,4000,New Continental GT Speed
23382,bentley,Bentley Flying Spur,green,23-Jan,2023,315900,404,549,Automatic,Petrol,"11,6 l/100 km",270 g/km,6000,New Flying Spur V8 S
22481,audi,Audi A1,black,23-Feb,2023,315890,70,95,Automatic,Petrol,"5,9 l/100 km","134,1 g/km",6000,Sportback 25 TFSI S tronic LED Sihei EPH
23399,bentley,Bentley Bentayga,black,23-Apr,2023,315700,404,549,Automatic,Petrol,12 l/100 km,272 g/km,80,V8 EWB Azure FIRST EDITION - sofort -
52510,ferrari,Ferrari Portofino,grey,22-Jun,2022,314900,455,619,Automatic,Petrol,"11,3 l/100 km",256 g/km,385,M *ADAS*Nackenwärmer*360Grad*
52565,ferrari,Ferrari Roma,red,23-Jun,2023,314900,456,620,Automatic,Petrol,15 l/100 km,234 g/km,45,Rosso Fiorano
93703,lamborghini,Lamborghini Huracan,black,18-Feb,2018,314900,470,639,Automatic,Petrol,"14,8 l/100 km",342 g/km,6749,Performante - Racing Seats
93788,lamborghini,Lamborghini Urus,black,20-Jul,2020,314900,478,650,Automatic,Petrol,"12,7 l/100 km",290 g/km,28649,Carbon Paket
93850,lamborghini,Lamborghini Huracan,white,21-Apr,2021,314900,471,640,Automatic,Petrol,,0 g/km,12810,"Huracán Evo Spyder ""Sportsitze"" MY21 - Lamborghini"
93853,lamborghini,Lamborghini Urus,orange,21-May,2021,314850,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,15100,URUS | Pearl Capsule  B&O 23 Zoll Garantie
23298,bentley,Bentley Bentayga,grey,22-Nov,2022,313900,404,549,Automatic,Petrol,12 l/100 km,272 g/km,5000,"New Bentayga V8 EWB Azure ""First Edition"""
93903,lamborghini,Lamborghini Urus,black,22-Feb,2022,311990,478,650,Automatic,Petrol,"12,7 l/100 km",#NAME?,28000,"4.0 V8 *Pano *23"" *Carbon *3D B&O *360°"
23315,bentley,Bentley Continental GT,red,22-Jan,2022,310000,485,659,Automatic,Petrol,"13,3 l/100 km",308 g/km,12086,Speed -CARBON-PANO-AKRAPOVIC-TOP-
22432,audi,Audi RS Q8,black,23-Jun,2023,309990,589,801,Automatic,Petrol,"13,4 l/100 km",305 g/km,1500,4.0 TFSI Quattro ABT SIGNATURE EDITION 800
93641,lamborghini,Lamborghini Aventador,black,15-Sep,2015,309990,515,700,Automatic,Petrol,16 l/100 km,370 g/km,15000,LP 700-4 PIRELLI EDITION*DEUTSCH*GLAS
52527,ferrari,Ferrari Portofino,red,22-Sep,2022,309980,456,620,Automatic,Petrol,"10,7 l/100 km",245 g/km,467,ROMA TAILORMADE ISPIRAZIONI OF 250LM
52569,ferrari,Ferrari Portofino,red,23-May,2023,309980,456,620,Automatic,Petrol,"10,7 l/100 km",245 g/km,91,M Neuwagen JBL MADM PDIS SurroundView
22445,audi,Audi RS Q8,black,23-May,2023,309950,588,799,Automatic,Petrol,,#NAME?,2050,4.0TFSI quattro ABT Signature Edition No.39
52388,ferrari,Ferrari 812,grey,20-Aug,2020,309900,588,799,Automatic,Petrol,"14,9 l/100 km",340 g/km,24491,LED Beifahrer Display Alcantara
93858,lamborghini,Lamborghini Huracan,blue,22-Dec,2022,309900,471,640,Automatic,Petrol,"14,3 l/100 km",332 g/km,6570,"EVO Blu Aegir, Big Forged Composites"
93811,lamborghini,Lamborghini Urus,blue,21-May,2021,309899,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,33950,4.0 Carbon Ad Personam 4 Seat Akrapovic TV
23390,bentley,Bentley Continental,red,23-Jan,2023,309890,404,549,Automatic,Petrol,"11,2 l/100 km",255 g/km,8900,GT S V8 * CARBON-STYLING * MULLINER *
52305,ferrari,Ferrari 812,black,18-Sep,2018,309800,588,799,Automatic,Petrol,,#NAME?,44326,Superfast Ferrari Berlin
93861,lamborghini,Lamborghini Huracan,blue,22-May,2022,309640,471,640,Automatic,Petrol,,#NAME?,2990,EVO Coupé | Lamborghini Nürnberg
23357,bentley,Bentley Continental GTC,beige,23-Apr,2023,309500,404,549,Automatic,Petrol,"11,7 l/100 km",266 g/km,3100,Azure V8 - MY23 - BENTLEY BERLIN
93859,lamborghini,Lamborghini Huracan,blue,22-Mar,2022,309500,471,640,Automatic,Petrol,,#NAME?,14500,EVO Coupe 640 PS Dreamcar
24535,bmw,BMW Z8,black,3-Jun,2003,309000,,,Automatic,Petrol,"14,5 l/100 km",349 g/km,71620,"ALPINA ROADSTER AUTOMATIK, SCHWARZ/BEIGE"
52262,ferrari,Ferrari F12,grey,17-Mar,2017,309000,544,740,Automatic,Petrol,,#NAME?,8500,*Carbon*Racing Seats* Nur 8500KM!
93844,lamborghini,Lamborghini Urus,black,21-May,2021,309000,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,22200,"URUS V8 BLACK! AD PERSONAM ALCANTARA|3D B&O|23"""
113593,mercedes-benz,Mercedes-Benz SLS,white,13-Mar,2013,309000,435,591,Automatic,Petrol,"13,2 l/100 km",313 g/km,25900,AMG GT Coupe *TOP*
168134,porsche,Porsche 992,green,22-Sep,2022,308992,478,650,Automatic,Petrol,"11,3 l/100 km",257 g/km,5000,Turbo S Cabrio +EXCLUSIVE+LIFT+BURMESTER+ILP+
23222,bentley,Bentley Continental GTC,blue,21-Jul,2021,307500,485,659,Automatic,Petrol,"13,8 l/100 km",314 g/km,3900,SPEED - BENTLEY BERLIN -
23286,bentley,Bentley Continental GT,grey,22-Jun,2022,307500,485,659,Automatic,Petrol,,#NAME?,3800,Speed Akrapovic  Styl  Blackline
23401,bentley,Bentley Bentayga,black,23-May,2023,307020,404,549,Automatic,Petrol,13 l/100 km,294 g/km,59,"4.0 V8 S BLACK/BLACK-ORANGE 22"" LED"
93762,lamborghini,Lamborghini Urus,blue,20-Oct,2020,307008,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,17900,"4.0 V8 - 22"" - PANO - 360° - B&O - Head Up"
127884,mercedes-benz,Mercedes-Benz G 63 AMG,green,22-Apr,2022,307000,430,585,Automatic,Petrol,15 l/100 km,373 g/km,25000,BRABUS WIDESTAR-NIGHT-MANUFAKTUR-CARBON
23290,bentley,Bentley Bentayga,grey,22-Nov,2022,306900,404,549,Automatic,Petrol,12 l/100 km,272 g/km,3600,EWB Azure F.E // BENTLEY DÜSSELDORF
93901,lamborghini,Lamborghini Urus,black,22-Mar,2022,306900,478,650,Automatic,Petrol,"12,6 l/100 km",292 g/km,10829,ANIMA/B&O/CARBON-PAKET/PANORAMA
52298,ferrari,Ferrari 488,red,18-Feb,2018,305900,493,670,Automatic,Petrol,,#NAME?,39900,"2. Hand, unfallfrei, DE"
23262,bentley,Bentley Continental GTC,gold,21-Aug,2021,305800,485,659,Automatic,Petrol,"13,8 l/100 km",314 g/km,3700,SPEED - BENTLEY BERLIN -
52456,ferrari,Ferrari F8 Tributo,red,21-Apr,2021,305800,530,721,Automatic,Petrol,,#NAME?,15400,Lift*Racing Seats*JBL*Passenger*
167249,porsche,Porsche 991,gold,18-May,2018,305550,446,606,Automatic,Petrol,"9,1 l/100 km",212 g/km,14875,911 Turbo S Exclusive Series Burmester
164995,porsche,Porsche 997,white,11-Apr,2011,305400,368,500,Manual,Petrol,"11,6 l/100 km",#NAME?,1554,GT3 RS 4.0i Coupe
115766,mercedes-benz,Mercedes-Benz SLS,grey,15-Mar,2015,305000,435,591,Automatic,Petrol,"13,2 l/100 km",#NAME?,4330,SLS AMG Roadster GT AMG Final Edition
123317,mercedes-benz,Mercedes-Benz G 63 AMG,blue,19-Mar,2019,305000,588,799,Automatic,Petrol,"14,4 l/100 km",#NAME?,41000,Brabus 800HP Widestar
167726,porsche,Porsche 911,black,20-Jan,2020,305000,383,521,Automatic,Petrol,,#NAME?,6028,GT3RS
167747,porsche,Porsche 911,black,20-Feb,2020,304990,383,521,Automatic,Petrol,"9,8 l/100 km",303 g/km,5900,GT3 RS Weissach Lift PDLS Exclusive
52384,ferrari,Ferrari F8 Tributo,grey,20-Oct,2020,304720,530,721,Automatic,Petrol,,#NAME?,17198,Spider FullCarbon/CarbonRims/Stripe
23400,bentley,Bentley Bentayga,black,23-Apr,2023,303450,405,551,Automatic,Petrol,13 l/100 km,294 g/km,63,"4.0 V8 S BLACK/BEIGE 22"" AMBIENTLIGHT"
23354,bentley,Bentley Continental,gold,22-May,2022,303333,485,659,Automatic,Petrol,"13,5 l/100 km",308 g/km,14900,New Continental GT Speed UNIKAT BY MULLINER / FULL
1570,aston-martin,Aston Martin Vantage,silver,17-Jun,2017,300000,420,571,Manual,Petrol,17 l/100 km,#NAME?,9750,Handschalter - 7-Gang - V12 S Roadster
24892,bmw,BMW M3,black,4-Mar,2004,299999,265,360,Automatic,Petrol,"11,9 l/100 km",282 g/km,4950,i PDC AHK KLIMA SITZHZ---LESEN--DIV.OP.MÄNGEL
96742,land-rover,Land Rover Range Rover,grey,23-May,2023,299999,390,530,Automatic,Petrol,12 l/100 km,272 g/km,25,P530  LWB 5-Sitzer SV Lang
124354,mercedes-benz,Mercedes-Benz G 63 AMG,black,19-Nov,2019,299999,588,799,Automatic,Petrol,"13,1 l/100 km",299 g/km,69172,BRABUS 800 WIDESTAR STARLIGHT CARBON
167737,porsche,Porsche 718,black,20-Feb,2020,299991,309,420,Manual,Petrol,"11,1 l/100 km",251 g/km,892,911 GT3 RS MR * Manthey Racing * Approved 2024 *
23363,bentley,Bentley Continental,brown,23-Jan,2023,299990,404,549,Automatic,Petrol,"12,5 l/100 km",284 g/km,7000,GTC S V8
93759,lamborghini,Lamborghini Huracan,blue,20-Jan,2020,299990,471,640,Automatic,Petrol,,4 g/km,17568,EVO *FORGED*KAM*LIFT*SENSONUM*WARRANTY 01/25
97704,maserati,Maserati MC20,grey,22-Sep,2022,299988,463,630,Automatic,Petrol,"12,4 l/100 km",282 g/km,20,Coupé
93743,lamborghini,Lamborghini Urus,black,19-Sep,2019,299950,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,28950,4.0 Nero Ad Personam 4 Seat Akrapovic TV
24337,bmw,BMW Z8,silver,2-Nov,2002,299940,294,400,Manual,Petrol,"14,5 l/100 km",349 g/km,21746,eines prominenten Rennfahrers - handsigniert
23225,bentley,Bentley Continental,grey,21-Jul,2021,299900,485,659,Automatic,Petrol,"13,5 l/100 km",445 g/km,12600,Speed Dynamic Pano Keramik 360°
23371,bentley,Bentley Continental GT,grey,23-Jun,2023,299900,404,549,Automatic,Petrol,"11,3 l/100 km",263 g/km,3600,V8  Azure // BENTLEY DÜSSELDORF
23383,bentley,Bentley Bentayga,green,23-Mar,2023,299900,404,549,Automatic,Petrol,12 l/100 km,272 g/km,5000,Azure  V8
23409,bentley,Bentley Continental GT,silver,23-Apr,2023,299900,405,551,Automatic,Petrol,"11,3 l/100 km",263 g/km,1500,V8 S
52194,ferrari,Ferrari 458,black,13-Mar,2013,299900,419,570,Automatic,Petrol,"13,3 l/100 km",303 g/km,3850,Italia Spider | full carbon
52331,ferrari,Ferrari 488,red,19-Jun,2019,299900,492,669,Automatic,Petrol,"11,4 l/100 km",260 g/km,6700,*Lift*PDC*RFK*elektr. Sitze*Mwst
52458,ferrari,Ferrari F8 Tributo,red,21-Feb,2021,299900,530,721,Automatic,Petrol,,#NAME?,2300,**VOLL CARBON*CARBON-SITZE*LIFT**
52474,ferrari,Ferrari F8 Tributo,black,21-Aug,2021,299900,530,721,Automatic,Petrol,,#NAME?,6900,*Lift*LED*Racing Seats*4 Punkt*Karbon
52567,ferrari,Ferrari Portofino,red,23-May,2023,299900,456,620,Automatic,Petrol,"10,7 l/100 km",245 g/km,91,M TwoTone/Passenger/ADAS/Carbon/JBL
93612,lamborghini,Lamborghini Aventador,blue,11-Nov,2011,299900,515,700,Automatic,Petrol,"17,2 l/100 km",398 g/km,30000,LP 700-4 - Ad Personam|ParkAssi|Carbon
93649,lamborghini,Lamborghini Aventador,red,16-Apr,2016,299900,515,700,Automatic,Petrol,,#NAME?,48400,Roadster LP700-4
93733,lamborghini,Lamborghini Huracan,grey,19-Jul,2019,299900,470,639,Automatic,Petrol,"13,9 l/100 km",335 g/km,14990,"EVO AWD Coupé, Scheckheft, 2. Hand"
93809,lamborghini,Lamborghini Huracan,blue,21-May,2021,299900,449,610,Automatic,Petrol,"14,3 l/100 km",330 g/km,6990,EVO RWD Coupe
93916,lamborghini,Lamborghini Urus,bronze,23-May,2023,299900,478,650,Automatic,Petrol,"12,3 l/100 km",290 g/km,18200,"Bronzo Hypnos, Lower and Upper Carbon Pack"
96509,land-rover,Land Rover Range Rover,black,22-Aug,2022,299900,390,530,Automatic,Petrol,"11,7 l/100 km",264 g/km,60,P530 LWB Autobiography
114653,mercedes-benz,Mercedes-Benz G 500,black,14-Mar,2014,299900,285,387,Automatic,Petrol,"14,9 l/100 km",348 g/km,19991,"SHZ,Teilleder, EPH,Automatik"
23276,bentley,Bentley Bentayga,blue,22-Dec,2022,299890,404,549,Automatic,Petrol,12 l/100 km,272 g/km,7500,EWB Azure V8 * FIRST EDITION * MULLINER *
23350,bentley,Bentley Continental,violet,22-Dec,2022,299890,404,549,Automatic,Petrol,"12,1 l/100 km",275 g/km,2490,GT S V8 Bentley Singen
93744,lamborghini,Lamborghini Urus,black,19-Jul,2019,299890,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,42500,*Black*
97615,maserati,Maserati MC20,yellow,21-Oct,2021,299888,463,630,Automatic,Petrol,"12,4 l/100 km",282 g/km,6250,*Coupé* 2789
21162,audi,Audi RS Q8,black,22-Aug,2022,299870,589,801,Automatic,Petrol,"13,4 l/100 km",305 g/km,2102,4.0 TFSI Johann Abt Signature Edition No 64
52519,ferrari,Ferrari Portofino,red,22-Oct,2022,299850,456,620,Automatic,Petrol,"11,3 l/100 km",256 g/km,80,GARANTIE RACING SEATS CARBON MAGMA LED
124495,mercedes-benz,Mercedes-Benz G 63 AMG,black,19-Aug,2019,299850,588,799,Automatic,Petrol,"13,1 l/100 km",299 g/km,45000,G 800 BRABUS GRNT23 SOFORT VOLL
111088,mercedes-benz,Mercedes-Benz SLS,silver,11-Feb,2011,299700,420,571,Automatic,Petrol,"13,2 l/100 km",308 g/km,14500,AMG Coupe
23306,bentley,Bentley Continental GTC,green,22-Nov,2022,299500,404,549,Automatic,Petrol,"11,7 l/100 km",266 g/km,3100,V8 Mulliner - BENTLEY BERLIN -
93820,lamborghini,Lamborghini Huracan,yellow,21-Jan,2021,299500,471,640,Automatic,Petrol,,#NAME?,7600,HURACÁN EVO AWD ** GIALLO INTI **
93864,lamborghini,Lamborghini Urus,yellow,22-Mar,2022,299500,478,650,Automatic,Petrol,"12,7 l/100 km",325 g/km,13500,Voll Garantie Capsule 1 Hand
168370,porsche,Porsche 992,grey,23-Mar,2023,299500,478,650,Automatic,Petrol,"11,3 l/100 km",257 g/km,495,911 Turbo S Cabrio nur 495 km Burmester PASM
167891,porsche,Porsche 911,black,21-Nov,2021,299400,478,650,Automatic,Petrol,"11,3 l/100 km",257 g/km,3850,Turbo S Cabriolet I Keramikbremse I Sportabgasanla
23378,bentley,Bentley Bentayga,grey,23-May,2023,299350,405,551,Automatic,Petrol,12 l/100 km,272 g/km,1923,V8 EWB *NAIM*RSE*Touring*
1597,aston-martin,Aston Martin DBS,grey,19-Jul,2019,299000,533,725,Automatic,Petrol,,#NAME?,4507,Superleggera V12 Satin Xenon Grey
42341,bmw,BMW M5,green,22-Apr,2022,299000,580,789,Automatic,Petrol,,258 g/km,2450,MANHART MH5 GTR Limited 01/01
52054,ferrari,Ferrari 575,black,5-Oct,2005,299000,397,540,Automatic,Petrol,,#NAME?,25000,Superamerica 1.Hand
52485,ferrari,Ferrari F8 Tributo,silver,21-Jul,2021,299000,530,721,Automatic,Petrol,"12,5 l/100 km",273 g/km,25088,Carbon/Lift/Racingsitze/Passenger-Dis
93683,lamborghini,Lamborghini Huracan,orange,17-Aug,2017,299000,471,640,Automatic,Petrol,- (l/100 km),#NAME?,19000,Performante - Arancio Anthaeus
93728,lamborghini,Lamborghini Urus,yellow,19-Oct,2019,299000,478,650,Automatic,Petrol,,#NAME?,61000,Urus
97076,land-rover,Land Rover Range Rover,white,23-May,2023,299000,390,530,Automatic,Petrol,,#NAME?,2500,P530 LWB Autobiography
112721,mercedes-benz,Mercedes-Benz G 500,grey,13-Apr,2013,299000,285,387,Automatic,Petrol,"14,9 l/100 km",353 g/km,37250,Cabriolet ° Designo ° Voll ° 2013 °
93843,lamborghini,Lamborghini Huracan,black,21-Mar,2021,298900,448,609,Automatic,Petrol,"14,2 l/100 km",338 g/km,21000,EVO Spyder LP610 LIFT CARBON KLIMA NAV
23280,bentley,Bentley Flying Spur,brown,22-Nov,2022,298899,405,551,Automatic,Petrol,"11,6 l/100 km",288 g/km,1500,4.0 V8 DCT
23415,bentley,Bentley Continental,gold,23-May,2023,298780,405,551,Automatic,Petrol,"11,7 l/100 km",266 g/km,1923,GTC Azure V8 *Touring*Blackline*
23375,bentley,Bentley Bentayga,grey,23-May,2023,298640,405,551,Automatic,Petrol,12 l/100 km,272 g/km,1923,V8 EWB *Airline*NAIM*AllTerrain*
23297,bentley,Bentley Continental GTC,grey,22-Mar,2022,298500,485,659,Automatic,Petrol,"13,8 l/100 km",314 g/km,15000,SPEED - BENTLEY BERLIN -
93624,lamborghini,Lamborghini Aventador,red,13-Feb,2013,298000,515,700,Semi-automatic,Petrol,16 l/100 km,370 g/km,21000,LP 700-4
167594,porsche,Porsche 991,white,19-Sep,2019,297991,383,521,Automatic,Petrol,"13,6 l/100 km",308 g/km,11900,911 4.0 GT3 RS / LED Rückfahrkam. Klimaautom
